Date,Close/Last,Volume,Open,High,Low
05/06/2024,110.12,2422842,110.125,110.13,110.11
05/03/2024,110.11,2206326,110.11,110.12,110.10
05/02/2024,110.09,3285377,110.08,110.09,110.08
05/01/2024,110.04,3307784,110.04,110.04,110.02
04/30/2024,110.47,2763040,110.47,110.48,110.47
04/29/2024,110.46,2577657,110.46,110.47,110.46
04/26/2024,110.45,1744939,110.45,110.45,110.44
04/25/2024,110.43,1901739,110.44,110.44,110.43
04/24/2024,110.40,2032957,110.39,110.40,110.39
04/23/2024,110.38,2211256,110.38,110.39,110.37
04/22/2024,110.36,3896758,110.365,110.37,110.36
04/19/2024,110.35,2259221,110.34,110.35,110.34
04/18/2024,110.33,3423236,110.33,110.34,110.32
04/17/2024,110.28,1804030,110.28,110.29,110.28
04/16/2024,110.26,3752824,110.26,110.27,110.26
04/15/2024,110.25,3945490,110.26,110.26,110.25
04/12/2024,110.24,2406437,110.25,110.26,110.24
04/11/2024,110.23,3432362,110.22,110.23,110.22
04/10/2024,110.18,2877557,110.19,110.19,110.18
04/09/2024,110.19,1467604,110.19,110.19,110.18
04/08/2024,110.18,1564191,110.18,110.18,110.17
04/05/2024,110.17,2037342,110.17,110.17,110.16
04/04/2024,110.16,2585568,110.14,110.16,110.13
04/03/2024,110.09,2873085,110.10,110.10,110.09
04/02/2024,110.08,5076321,110.08,110.08,110.07
04/01/2024,110.065,4439198,110.07,110.07,110.06
03/28/2024,110.54,2490769,110.53,110.54,110.53
03/27/2024,110.53,1826905,110.52,110.53,110.52
03/26/2024,110.46,1203038,110.46,110.46,110.45
03/25/2024,110.44,3515830,110.45,110.45,110.43
03/22/2024,110.44,1356610,110.43,110.44,110.43
03/21/2024,110.41,2078937,110.41,110.42,110.41
03/20/2024,110.37,2372237,110.35,110.37,110.35
03/19/2024,110.34,1860696,110.33,110.34,110.33
03/18/2024,110.33,2056948,110.32,110.33,110.32
03/15/2024,110.32,1723347,110.31,110.32,110.30
03/14/2024,110.30,2071782,110.30,110.30,110.29
03/13/2024,110.25,1552181,110.25,110.26,110.25
03/12/2024,110.24,1443805,110.235,110.24,110.23
03/11/2024,110.22,1731850,110.23,110.23,110.22
03/08/2024,110.21,2194958,110.23,110.23,110.21
03/07/2024,110.20,2023248,110.20,110.20,110.19
03/06/2024,110.16,1889781,110.155,110.16,110.15
03/05/2024,110.135,2585345,110.14,110.14,110.13
03/04/2024,110.12,2742257,110.12,110.13,110.11
03/01/2024,110.11,3757540,110.105,110.11,110.10
02/29/2024,110.53,3311034,110.52,110.53,110.52
02/28/2024,110.47,2040772,110.47,110.48,110.47
02/27/2024,110.46,1576644,110.46,110.47,110.46
02/26/2024,110.44,1684698,110.45,110.46,110.44
02/23/2024,110.44,3266374,110.44,110.45,110.43
02/22/2024,110.42,2546546,110.43,110.44,110.42
02/21/2024,110.38,1647109,110.38,110.39,110.38
02/20/2024,110.37,1756633,110.37,110.38,110.37
02/16/2024,110.35,1551338,110.34,110.35,110.34
02/15/2024,110.35,1816593,110.35,110.36,110.34
02/14/2024,110.29,1773636,110.28,110.29,110.27
02/13/2024,110.25,2706680,110.27,110.27,110.25
02/12/2024,110.27,1967412,110.27,110.28,110.26
02/09/2024,110.26,2605375,110.26,110.26,110.25
02/08/2024,110.25,1722475,110.24,110.25,110.23
02/07/2024,110.20,1388088,110.20,110.20,110.19
02/06/2024,110.18,2110803,110.17,110.19,110.17
02/05/2024,110.15,2435504,110.155,110.16,110.15
02/02/2024,110.14,2814698,110.15,110.16,110.14
02/01/2024,110.17,3815564,110.17,110.17,110.16
01/31/2024,110.57,3478011,110.57,110.59,110.57
01/30/2024,110.54,1802971,110.56,110.56,110.54
01/29/2024,110.53,1638132,110.53,110.54,110.53
01/26/2024,110.52,1729236,110.52,110.53,110.52
01/25/2024,110.51,2982528,110.50,110.51,110.50
01/24/2024,110.45,2404002,110.46,110.47,110.45
01/23/2024,110.44,2189722,110.44,110.45,110.44
01/22/2024,110.44,3950584,110.44,110.44,110.42
01/19/2024,110.42,3890017,110.415,110.42,110.40
01/18/2024,110.39,2113515,110.39,110.41,110.39
01/17/2024,110.36,2662409,110.35,110.36,110.35
01/16/2024,110.34,2360564,110.35,110.36,110.34
01/12/2024,110.34,1531126,110.34,110.34,110.33
01/11/2024,110.31,1688014,110.31,110.31,110.30
01/10/2024,110.24,1740443,110.24,110.25,110.24
01/09/2024,110.22,1624966,110.23,110.24,110.22
01/08/2024,110.21,2264854,110.21,110.22,110.21
01/05/2024,110.19,2078119,110.19,110.21,110.18
01/04/2024,110.18,1616088,110.18,110.19,110.18
01/03/2024,110.13,2320563,110.135,110.14,110.13
01/02/2024,110.12,2636897,110.13,110.13,110.12
12/29/2023,110.13,1851574,110.11,110.13,110.10
12/28/2023,110.10,1714560,110.09,110.10,110.09
12/27/2023,110.03,1892123,110.03,110.05,110.03
12/26/2023,110.03,1930802,110.01,110.03,110.01
12/22/2023,110.01,2083827,110.00,110.01,110.00
12/21/2023,109.99,2516052,109.98,109.99,109.98
12/20/2023,109.92,3083447,109.92,109.93,109.91
12/19/2023,109.89,7442031,109.89,109.90,109.89
12/18/2023,109.885,2280833,109.88,109.89,109.87
12/15/2023,109.87,2705296,109.86,109.87,109.86
12/14/2023,109.86,3413480,109.86,109.87,109.85
12/13/2023,110.31,2361472,110.28,110.31,110.28
12/12/2023,110.27,1542122,110.26,110.27,110.26
12/11/2023,110.24,2079668,110.26,110.26,110.24
12/08/2023,110.24,1789596,110.25,110.25,110.24
12/07/2023,110.24,1660462,110.23,110.24,110.23
12/06/2023,110.19,2971537,110.19,110.19,110.18
12/05/2023,110.17,2561495,110.17,110.17,110.16
12/04/2023,110.15,3353782,110.16,110.16,110.14
12/01/2023,110.14,3957191,110.12,110.14,110.12
11/30/2023,110.59,4696343,110.59,110.60,110.58
11/29/2023,110.55,2579371,110.54,110.55,110.54
11/28/2023,110.53,2128338,110.51,110.53,110.51
11/27/2023,110.50,2078891,110.50,110.51,110.49
11/24/2023,110.48,1088512,110.48,110.49,110.47
11/22/2023,110.47,1469805,110.47,110.47,110.46
11/21/2023,110.43,2160111,110.42,110.43,110.41
11/20/2023,110.39,3047568,110.39,110.40,110.38
11/17/2023,110.38,2998731,110.38,110.39,110.37
11/16/2023,110.37,3288784,110.36,110.37,110.35
11/15/2023,110.31,3028981,110.30,110.32,110.30
11/14/2023,110.30,3790951,110.28,110.30,110.28
11/13/2023,110.26,3531455,110.26,110.26,110.25
11/10/2023,110.25,2436787,110.24,110.25,110.24
11/09/2023,110.22,2394317,110.23,110.24,110.22
11/08/2023,110.18,2275652,110.19,110.19,110.18
11/07/2023,110.17,3892234,110.17,110.18,110.16
11/06/2023,110.14,16525180,110.15,110.17,110.14
11/03/2023,110.145,4370130,110.14,110.15,110.13
11/02/2023,110.12,2476730,110.12,110.12,110.11
11/01/2023,110.07,3890928,110.06,110.07,110.05
10/31/2023,110.50,3445518,110.50,110.51,110.50
10/30/2023,110.50,3156507,110.49,110.50,110.49
10/27/2023,110.49,2058500,110.48,110.49,110.48
10/26/2023,110.47,1647801,110.45,110.47,110.45
10/25/2023,110.40,1848505,110.41,110.42,110.40
10/24/2023,110.40,1658296,110.40,110.41,110.39
10/23/2023,110.39,2013886,110.38,110.39,110.38
10/20/2023,110.37,2840496,110.37,110.37,110.36
10/19/2023,110.34,2345058,110.33,110.35,110.33
10/18/2023,110.29,2193518,110.295,110.30,110.28
10/17/2023,110.28,2369973,110.27,110.28,110.27
10/16/2023,110.27,2419649,110.27,110.28,110.25
10/13/2023,110.26,2293513,110.26,110.26,110.25
10/12/2023,110.24,2267857,110.23,110.24,110.22
10/11/2023,110.18,3782184,110.19,110.19,110.18
10/10/2023,110.17,3038202,110.17,110.18,110.17
10/09/2023,110.16,2536031,110.15,110.16,110.15
10/06/2023,110.15,3300328,110.15,110.15,110.14
10/05/2023,110.14,3781194,110.13,110.15,110.13
10/04/2023,110.08,16858300,110.06,110.08,110.06
10/03/2023,110.04,5402127,110.06,110.06,110.04
10/02/2023,110.03,3776799,110.035,110.04,110.03
09/29/2023,110.47,5282766,110.48,110.49,110.47
09/28/2023,110.47,2534369,110.46,110.47,110.46
09/27/2023,110.42,2963108,110.42,110.43,110.41
09/26/2023,110.40,2637372,110.41,110.41,110.40
09/25/2023,110.39,2279052,110.39,110.40,110.39
09/22/2023,110.38,1631713,110.37,110.38,110.37
09/21/2023,110.36,2438847,110.35,110.37,110.35
09/20/2023,110.31,1743977,110.32,110.32,110.30
09/19/2023,110.29,1920423,110.31,110.31,110.29
09/18/2023,110.29,2617590,110.29,110.29,110.28
09/15/2023,110.27,2482795,110.275,110.28,110.26
09/14/2023,110.26,2391743,110.25,110.26,110.25
09/13/2023,110.21,1776619,110.21,110.21,110.20
09/12/2023,110.19,2338294,110.19,110.20,110.18
09/11/2023,110.18,3088519,110.18,110.19,110.17
09/08/2023,110.16,3441856,110.16,110.17,110.15
09/07/2023,110.15,2119506,110.14,110.15,110.13
09/06/2023,110.09,2136942,110.10,110.10,110.09
